datetime,index,4025__VWC_Mineral_Soil,2611__Solar_Radiation,4192__Water_Meter_Flow,Irrigation,Irr_on,dt,Irr_start,Irr_end,dt_Irr_on,dt_Irr_off,acc_Irr_on,Irr_start_soil,Hour
12/2/2021 7:00,250,27.97219276,130.4515204,3000,3000,1,12/2/2021 7:00,12/2/2021 7:00,,0.0,0.0,3000,27.972193,7
12/2/2021 7:30,251,34.69139862,248.241684,7000,7000,1,12/2/2021 7:30,12/2/2021 7:00,,0.5,0.0,10000,27.972193,7
12/2/2021 8:00,252,34.73999023,332.0740201,1000,1000,1,12/2/2021 8:00,12/2/2021 7:00,,1.0,0.0,11000,34.6914,8
12/2/2021 8:30,253,33.69360733,399.0811768,0,0,0,12/2/2021 8:30,12/2/2021 7:00,12/2/2021 8:00,0.0,0.5,0,0.0,8
12/2/2021 9:00,254,33.00645065,414.7617141,0,0,0,12/2/2021 9:00,12/2/2021 7:00,12/2/2021 8:00,0.0,1.0,0,0.0,9
12/2/2021 9:30,255,32.78193283,391.2324572,0,0,0,12/2/2021 9:30,12/2/2021 7:00,12/2/2021 8:00,0.0,1.5,0,0.0,9
12/2/2021 10:00,256,32.6482811,392.1274414,0,0,0,12/2/2021 10:00,12/2/2021 7:00,12/2/2021 8:00,0.0,2.0,0,0.0,10
12/2/2021 10:30,257,32.51541901,505.5800799,0,0,0,12/2/2021 10:30,12/2/2021 7:00,12/2/2021 8:00,0.0,2.5,0,0.0,10
12/2/2021 11:00,258,32.3833313,585.550354,0,0,0,12/2/2021 11:00,12/2/2021 7:00,12/2/2021 8:00,0.0,3.0,0,0.0,11
12/2/2021 11:30,259,32.29570389,550.9747408,0,0,0,12/2/2021 11:30,12/2/2021 7:00,12/2/2021 8:00,0.0,3.5,0,0.0,11
12/2/2021 12:00,260,32.25201797,514.1933594,0,0,0,12/2/2021 12:00,12/2/2021 7:00,12/2/2021 8:00,0.0,4.0,0,0.0,12
12/2/2021 12:30,261,32.16490173,476.9617746,0,0,0,12/2/2021 12:30,12/2/2021 7:00,12/2/2021 8:00,0.0,4.5,0,0.0,12
12/2/2021 13:00,262,32.07811737,438.1937561,0,0,0,12/2/2021 13:00,12/2/2021 7:00,12/2/2021 8:00,0.0,5.0,0,0.0,13
12/2/2021 13:30,263,32.03485489,311.2903484,0,0,0,12/2/2021 13:30,12/2/2021 7:00,12/2/2021 8:00,0.0,5.5,0,0.0,13
12/2/2021 14:00,264,31.94857407,181.3664246,0,0,0,12/2/2021 14:00,12/2/2021 7:00,12/2/2021 8:00,0.0,6.0,0,0.0,14
12/2/2021 14:30,265,31.86262321,148.414197,0,0,0,12/2/2021 14:30,12/2/2021 7:00,12/2/2021 8:00,0.0,6.5,0,0.0,14
12/2/2021 15:00,266,31.77700233,116.8835983,0,0,0,12/2/2021 15:00,12/2/2021 7:00,12/2/2021 8:00,0.0,7.0,0,0.0,15
12/2/2021 15:30,267,31.73431587,65.02604247,0,0,0,12/2/2021 15:30,12/2/2021 7:00,12/2/2021 8:00,0.0,7.5,0,0.0,15
12/2/2021 16:00,268,31.64918327,21.77181816,0,0,0,12/2/2021 16:00,12/2/2021 7:00,12/2/2021 8:00,0.0,8.0,0,0.0,16
12/2/2021 16:30,269,31.60673904,4.355460461,0,0,0,12/2/2021 16:30,12/2/2021 7:00,12/2/2021 8:00,0.0,8.5,0,0.0,16
12/2/2021 17:00,270,31.56437492,0.0,0,0,0,12/2/2021 17:00,12/2/2021 7:00,12/2/2021 8:00,0.0,9.0,0,0.0,17
12/2/2021 17:30,271,31.52209091,0.0,0,0,0,12/2/2021 17:30,12/2/2021 7:00,12/2/2021 8:00,0.0,9.5,0,0.0,17
12/2/2021 18:00,272,31.52209091,0.0,0,0,0,12/2/2021 18:00,12/2/2021 7:00,12/2/2021 8:00,0.0,10.0,0,0.0,18
12/2/2021 18:30,273,31.4798851,0.0,0,0,0,12/2/2021 18:30,12/2/2021 7:00,12/2/2021 8:00,0.0,10.5,0,0.0,18
12/2/2021 19:00,274,31.4798851,0.0,0,0,0,12/2/2021 19:00,12/2/2021 7:00,12/2/2021 8:00,0.0,11.0,0,0.0,19
12/2/2021 19:30,275,31.43776131,0.0,0,0,0,12/2/2021 19:30,12/2/2021 7:00,12/2/2021 8:00,0.0,11.5,0,0.0,19
12/2/2021 20:00,276,31.39571571,0.0,0,0,0,12/2/2021 20:00,12/2/2021 7:00,12/2/2021 8:00,0.0,12.0,0,0.0,20
12/2/2021 20:30,277,31.35374832,0.0,0,0,0,12/2/2021 20:30,12/2/2021 7:00,12/2/2021 8:00,0.0,12.5,0,0.0,20
12/2/2021 21:00,278,31.35374832,0.0,0,0,0,12/2/2021 21:00,12/2/2021 7:00,12/2/2021 8:00,0.0,13.0,0,0.0,21
12/2/2021 21:30,279,31.31186104,0.0,0,0,0,12/2/2021 21:30,12/2/2021 7:00,12/2/2021 8:00,0.0,13.5,0,0.0,21
12/2/2021 22:00,280,31.27005196,0.0,0,0,0,12/2/2021 22:00,12/2/2021 7:00,12/2/2021 8:00,0.0,14.0,0,0.0,22
12/2/2021 22:30,281,31.22832108,0.0,0,0,0,12/2/2021 22:30,12/2/2021 7:00,12/2/2021 8:00,0.0,14.5,0,0.0,22
12/2/2021 23:00,282,31.22832108,0.0,0,0,0,12/2/2021 23:00,12/2/2021 7:00,12/2/2021 8:00,0.0,15.0,0,0.0,23
12/2/2021 23:30,283,31.18666649,0.0,0,0,0,12/2/2021 23:30,12/2/2021 7:00,12/2/2021 8:00,0.0,15.5,0,0.0,23
12/3/2021 0:00,284,31.18666649,0.0,0,0,0,12/3/2021 0:00,12/2/2021 7:00,12/2/2021 8:00,0.0,16.0,0,0.0,0
12/3/2021 0:30,285,31.14509201,0.0,0,0,0,12/3/2021 0:30,12/2/2021 7:00,12/2/2021 8:00,0.0,16.5,0,0.0,0
12/3/2021 1:00,286,31.10359383,0.0,0,0,0,12/3/2021 1:00,12/2/2021 7:00,12/2/2021 8:00,0.0,17.0,0,0.0,1
